interaction_id,user_id,hotel_id,interaction_type,timestamp,session_id
INT_00001,USER_675,HOTEL_174,favourite,2025-06-25 17:01:05,SESSION_01626
INT_00002,USER_694,HOTEL_398,view,2025-07-16 03:01:09,SESSION_00538
INT_00003,USER_540,HOTEL_438,click,2025-07-23 22:03:58,SESSION_01209
INT_00004,USER_615,HOTEL_123,favourite,2025-07-23 01:01:55,SESSION_01326
INT_00005,USER_346,HOTEL_196,click,2025-07-31 03:35:46,SESSION_01482
INT_00006,USER_627,HOTEL_035,favourite,2025-08-18 06:40:33,SESSION_00744
INT_00007,USER_687,HOTEL_219,click,2025-07-22 01:06:34,SESSION_01015
INT_00008,USER_243,HOTEL_398,click,2025-07-06 08:50:35,SESSION_00297
INT_00009,USER_220,HOTEL_087,book,2025-07-28 10:43:48,SESSION_00178
INT_00010,USER_042,HOTEL_007,view,2025-07-18 08:21:11,SESSION_00630
INT_00011,USER_322,HOTEL_323,view,2025-07-29 13:04:30,SESSION_00372
INT_00012,USER_130,HOTEL_070,view,2025-08-22 03:54:49,SESSION_00782
INT_00013,USER_279,HOTEL_044,view,2025-06-11 02:25:49,SESSION_00275
INT_00014,USER_048,HOTEL_324,view,2025-07-16 03:12:58,SESSION_00092
INT_00015,USER_132,HOTEL_379,favourite,2025-08-12 10:05:20,SESSION_00747
INT_00016,USER_697,HOTEL_026,view,2025-06-26 19:39:06,SESSION_00722
INT_00017,USER_578,HOTEL_234,view,2025-08-23 10:09:58,SESSION_00047
INT_00018,USER_534,HOTEL_337,view,2025-08-06 21:44:45,SESSION_01508
INT_00019,USER_957,HOTEL_102,book,2025-08-03 14:01:13,SESSION_01233
INT_00020,USER_640,HOTEL_021,click,2025-07-11 15:45:10,SESSION_01542
INT_00021,USER_145,HOTEL_200,view,2025-08-26 09:54:34,SESSION_00023
INT_00022,USER_539,HOTEL_243,view,2025-07-17 02:31:50,SESSION_00240
INT_00023,USER_510,HOTEL_028,favourite,2025-07-25 01:36:09,SESSION_00202
INT_00024,USER_342,HOTEL_297,view,2025-07-15 21:25:06,SESSION_00386
INT_00025,USER_241,HOTEL_492,search,2025-08-03 09:56:07,SESSION_01613
INT_00026,USER_254,HOTEL_321,view,2025-07-28 03:33:23,SESSION_01555
INT_00027,USER_665,HOTEL_221,click,2025-07-25 13:14:17,SESSION_01045
INT_00028,USER_917,HOTEL_187,view,2025-06-13 01:31:16,SESSION_00486
INT_00029,USER_948,HOTEL_012,view,2025-06-20 15:49:28,SESSION_00501
INT_00030,USER_171,HOTEL_068,favourite,2025-08-28 06:04:03,SESSION_00884
INT_00031,USER_020,HOTEL_173,book,2025-06-13 08:17:34,SESSION_00017
INT_00032,USER_845,HOTEL_367,book,2025-09-01 02:28:14,SESSION_00154
INT_00033,USER_378,HOTEL_124,favourite,2025-06-30 02:37:01,SESSION_00056
INT_00034,USER_974,HOTEL_111,view,2025-06-14 15:50:54,SESSION_00082
INT_00035,USER_450,HOTEL_255,view,2025-06-09 17:39:45,SESSION_01388
INT_00036,USER_699,HOTEL_161,click,2025-08-24 20:44:41,SESSION_00137
INT_00037,USER_006,HOTEL_438,view,2025-07-07 07:11:47,SESSION_00909
INT_00038,USER_410,HOTEL_056,click,2025-08-12 18:40:10,SESSION_00698
INT_00039,USER_944,HOTEL_064,search,2025-08-07 00:34:15,SESSION_01237
INT_00040,USER_965,HOTEL_117,view,2025-07-08 13:34:09,SESSION_00587
INT_00041,USER_248,HOTEL_135,view,2025-08-29 20:50:01,SESSION_01490
INT_00042,USER_053,HOTEL_110,favourite,2025-08-20 04:52:48,SESSION_00369
INT_00043,USER_010,HOTEL_478,click,2025-08-15 04:37:13,SESSION_01195
INT_00044,USER_124,HOTEL_405,click,2025-07-14 08:31:16,SESSION_00069
INT_00045,USER_781,HOTEL_499,view,2025-07-10 22:13:12,SESSION_00802
INT_00046,USER_827,HOTEL_022,view,2025-07-26 04:14:05,SESSION_01511
INT_00047,USER_018,HOTEL_085,view,2025-06-24 03:18:17,SESSION_01369
INT_00048,USER_285,HOTEL_217,click,2025-07-04 01:46:33,SESSION_00156
INT_00049,USER_293,HOTEL_208,view,2025-06-12 18:35:16,SESSION_01444
INT_00050,USER_444,HOTEL_117,book,2025-06-28 06:33:14,SESSION_01567
INT_00051,USER_696,HOTEL_260,book,2025-07-23 07:13:35,SESSION_00807
INT_00052,USER_842,HOTEL_037,view,2025-07-06 17:06:36,SESSION_00415
INT_00053,USER_721,HOTEL_053,search,2025-06-21 03:39:29,SESSION_01295
INT_00054,USER_191,HOTEL_359,search,2025-06-28 08:49:08,SESSION_00648
INT_00055,USER_615,HOTEL_059,view,2025-08-10 04:34:11,SESSION_01620
INT_00056,USER_445,HOTEL_098,click,2025-08-21 09:21:16,SESSION_00937
INT_00057,USER_647,HOTEL_306,book,2025-06-12 23:20:53,SESSION_00429
INT_00058,USER_565,HOTEL_167,book,2025-08-27 12:16:38,SESSION_01187
INT_00059,USER_385,HOTEL_326,search,2025-07-31 21:55:08,SESSION_01296
INT_00060,USER_772,HOTEL_206,view,2025-06-19 05:48:49,SESSION_00107
INT_00061,USER_090,HOTEL_262,view,2025-06-20 08:16:19,SESSION_01097
INT_00062,USER_167,HOTEL_023,view,2025-07-04 17:40:02,SESSION_01557
INT_00063,USER_707,HOTEL_278,click,2025-06-25 23:47:40,SESSION_00753
INT_00064,USER_463,HOTEL_006,click,2025-08-28 12:32:45,SESSION_01546
INT_00065,USER_452,HOTEL_273,favourite,2025-06-20 17:55:48,SESSION_01248
INT_00066,USER_576,HOTEL_419,favourite,2025-06-20 18:29:12,SESSION_01507
INT_00067,USER_018,HOTEL_257,book,2025-06-13 12:34:21,SESSION_00758
INT_00068,USER_596,HOTEL_397,click,2025-06-15 07:09:38,SESSION_00844
INT_00069,USER_091,HOTEL_054,favourite,2025-08-04 05:06:52,SESSION_01074
INT_00070,USER_689,HOTEL_188,view,2025-08-26 19:14:14,SESSION_00669
INT_00071,USER_024,HOTEL_339,view,2025-07-07 23:42:11,SESSION_00641
INT_00072,USER_014,HOTEL_079,view,2025-07-16 13:16:51,SESSION_00117
INT_00073,USER_886,HOTEL_208,favourite,2025-06-28 09:18:40,SESSION_00251
INT_00074,USER_124,HOTEL_174,view,2025-07-16 18:07:34,SESSION_00827
INT_00075,USER_178,HOTEL_431,book,2025-06-26 17:05:09,SESSION_01009
INT_00076,USER_933,HOTEL_047,click,2025-07-27 10:49:59,SESSION_00634
INT_00077,USER_609,HOTEL_174,view,2025-08-05 02:40:05,SESSION_01513
INT_00078,USER_511,HOTEL_009,view,2025-06-20 14:22:57,SESSION_00945
INT_00079,USER_139,HOTEL_286,book,2025-07-10 07:47:48,SESSION_00580
INT_00080,USER_904,HOTEL_140,view,2025-07-06 14:12:35,SESSION_01612
INT_00081,USER_735,HOTEL_084,view,2025-07-15 01:23:54,SESSION_00378
INT_00082,USER_582,HOTEL_444,view,2025-06-13 11:21:08,SESSION_00193
INT_00083,USER_494,HOTEL_365,book,2025-06-23 04:06:21,SESSION_01329
INT_00084,USER_947,HOTEL_063,view,2025-07-08 09:40:15,SESSION_01034
INT_00085,USER_673,HOTEL_090,search,2025-08-15 20:14:41,SESSION_01236
INT_00086,USER_921,HOTEL_374,book,2025-08-11 18:51:47,SESSION_00234
INT_00087,USER_229,HOTEL_489,search,2025-06-28 05:36:48,SESSION_01471
INT_00088,USER_201,HOTEL_301,view,2025-06-30 15:11:21,SESSION_00215
INT_00089,USER_368,HOTEL_186,view,2025-06-08 14:54:02,SESSION_01229
INT_00090,USER_382,HOTEL_237,view,2025-07-14 23:33:49,SESSION_01487
INT_00091,USER_069,HOTEL_113,book,2025-07-24 21:05:07,SESSION_01592
INT_00092,USER_893,HOTEL_086,view,2025-08-30 06:48:14,SESSION_01655
INT_00093,USER_804,HOTEL_366,book,2025-06-15 17:48:08,SESSION_01069
INT_00094,USER_846,HOTEL_489,click,2025-07-21 01:07:34,SESSION_00111
INT_00095,USER_943,HOTEL_353,click,2025-08-08 18:52:27,SESSION_01295
INT_00096,USER_469,HOTEL_044,book,2025-08-24 14:07:23,SESSION_01136
INT_00097,USER_480,HOTEL_298,view,2025-08-20 18:10:45,SESSION_00810
INT_00098,USER_115,HOTEL_047,search,2025-06-10 14:50:25,SESSION_01472
INT_00099,USER_669,HOTEL_438,view,2025-07-25 13:35:46,SESSION_01141
INT_00100,USER_805,HOTEL_303,book,2025-08-21 08:15:26,SESSION_00039
INT_00101,USER_695,HOTEL_266,view,2025-08-25 01:38:57,SESSION_00409
INT_00102,USER_405,HOTEL_100,click,2025-07-04 13:13:47,SESSION_01084
INT_00103,USER_031,HOTEL_005,view,2025-07-25 07:12:58,SESSION_01070
INT_00104,USER_650,HOTEL_050,view,2025-08-12 12:25:39,SESSION_01204
INT_00105,USER_129,HOTEL_371,view,2025-07-24 17:25:11,SESSION_00586
INT_00106,USER_647,HOTEL_425,view,2025-07-01 15:51:35,SESSION_00562
INT_00107,USER_686,HOTEL_322,click,2025-08-10 09:55:43,SESSION_01011
INT_00108,USER_404,HOTEL_296,click,2025-07-25 03:18:32,SESSION_00137
INT_00109,USER_707,HOTEL_475,view,2025-08-11 22:23:51,SESSION_01612
INT_00110,USER_914,HOTEL_293,view,2025-08-29 05:29:28,SESSION_01352
INT_00111,USER_438,HOTEL_187,view,2025-06-09 21:27:47,SESSION_00850
INT_00112,USER_876,HOTEL_387,view,2025-08-13 03:36:44,SESSION_00879
INT_00113,USER_455,HOTEL_191,favourite,2025-06-06 22:07:26,SESSION_00801
INT_00114,USER_975,HOTEL_480,click,2025-06-27 08:11:16,SESSION_01063
INT_00115,USER_840,HOTEL_044,search,2025-06-10 04:32:10,SESSION_00319
INT_00116,USER_777,HOTEL_123,view,2025-07-24 09:05:12,SESSION_00702
INT_00117,USER_236,HOTEL_377,click,2025-07-10 23:48:10,SESSION_00446
INT_00118,USER_832,HOTEL_338,book,2025-07-26 13:23:37,SESSION_00003
INT_00119,USER_554,HOTEL_077,search,2025-08-07 08:58:22,SESSION_01236
INT_00120,USER_977,HOTEL_459,book,2025-08-04 19:23:31,SESSION_00850
INT_00121,USER_136,HOTEL_037,view,2025-07-13 15:43:25,SESSION_00471
INT_00122,USER_086,HOTEL_383,search,2025-08-19 21:40:03,SESSION_00790
INT_00123,USER_306,HOTEL_411,book,2025-06-05 11:36:00,SESSION_00239
INT_00124,USER_330,HOTEL_484,search,2025-08-19 04:29:26,SESSION_00400
INT_00125,USER_273,HOTEL_198,view,2025-07-26 03:32:32,SESSION_01279
INT_00126,USER_444,HOTEL_394,favourite,2025-07-05 13:03:26,SESSION_00496
INT_00127,USER_168,HOTEL_399,view,2025-08-15 08:08:33,SESSION_01329
INT_00128,USER_732,HOTEL_001,click,2025-06-29 17:54:09,SESSION_00791
INT_00129,USER_800,HOTEL_389,click,2025-08-29 22:41:07,SESSION_00686
INT_00130,USER_959,HOTEL_237,click,2025-08-04 22:48:51,SESSION_01270
INT_00131,USER_396,HOTEL_154,view,2025-08-28 18:45:07,SESSION_00044
INT_00132,USER_176,HOTEL_065,view,2025-08-27 15:06:33,SESSION_00609
INT_00133,USER_514,HOTEL_118,favourite,2025-06-13 00:45:37,SESSION_00351
INT_00134,USER_525,HOTEL_149,click,2025-08-24 06:42:04,SESSION_00917
INT_00135,USER_956,HOTEL_308,view,2025-08-20 03:09:29,SESSION_00269
INT_00136,USER_694,HOTEL_055,click,2025-08-28 18:54:11,SESSION_01457
INT_00137,USER_688,HOTEL_392,book,2025-08-25 22:07:12,SESSION_00519
INT_00138,USER_914,HOTEL_218,click,2025-07-27 00:41:47,SESSION_01229
INT_00139,USER_987,HOTEL_271,book,2025-08-13 02:15:26,SESSION_00522
INT_00140,USER_348,HOTEL_282,favourite,2025-06-23 01:54:24,SESSION_00266
INT_00141,USER_306,HOTEL_447,view,2025-07-31 14:47:47,SESSION_01415
INT_00142,USER_858,HOTEL_185,click,2025-06-30 13:19:57,SESSION_01522
INT_00143,USER_582,HOTEL_072,book,2025-06-07 23:32:48,SESSION_00796
INT_00144,USER_259,HOTEL_391,click,2025-09-01 09:22:33,SESSION_00668
INT_00145,USER_690,HOTEL_046,view,2025-08-13 06:04:44,SESSION_01429
INT_00146,USER_933,HOTEL_366,search,2025-08-09 17:43:02,SESSION_00834
INT_00147,USER_757,HOTEL_308,book,2025-07-20 09:33:04,SESSION_00893
INT_00148,USER_320,HOTEL_111,book,2025-06-13 21:03:48,SESSION_00938
INT_00149,USER_097,HOTEL_051,view,2025-07-21 05:49:28,SESSION_00892
INT_00150,USER_299,HOTEL_126,click,2025-07-14 16:19:35,SESSION_01093
INT_00151,USER_488,HOTEL_206,view,2025-06-13 19:06:14,SESSION_00795
INT_00152,USER_212,HOTEL_291,click,2025-06-06 11:28:10,SESSION_00226
INT_00153,USER_709,HOTEL_486,search,2025-08-28 01:07:07,SESSION_00747
INT_00154,USER_529,HOTEL_089,book,2025-06-11 19:51:17,SESSION_00611
INT_00155,USER_315,HOTEL_351,click,2025-07-20 20:21:20,SESSION_00878
INT_00156,USER_727,HOTEL_441,favourite,2025-06-25 12:09:13,SESSION_00597
INT_00157,USER_763,HOTEL_450,view,2025-08-19 23:57:36,SESSION_00842
INT_00158,USER_516,HOTEL_179,view,2025-08-05 00:21:34,SESSION_01628
INT_00159,USER_374,HOTEL_363,view,2025-07-22 23:12:42,SESSION_01130
INT_00160,USER_960,HOTEL_044,view,2025-06-30 21:13:08,SESSION_01441
INT_00161,USER_986,HOTEL_016,favourite,2025-06-21 19:20:57,SESSION_00791
INT_00162,USER_565,HOTEL_288,click,2025-07-03 06:58:58,SESSION_00482
INT_00163,USER_767,HOTEL_089,click,2025-09-02 14:50:37,SESSION_00667
INT_00164,USER_958,HOTEL_066,view,2025-06-15 08:38:00,SESSION_00559
INT_00165,USER_350,HOTEL_476,book,2025-07-05 03:57:06,SESSION_00398
INT_00166,USER_327,HOTEL_007,favourite,2025-06-14 05:13:40,SESSION_01290
INT_00167,USER_740,HOTEL_319,search,2025-06-09 01:03:42,SESSION_00450
INT_00168,USER_155,HOTEL_131,book,2025-06-05 08:26:37,SESSION_00696
INT_00169,USER_681,HOTEL_170,view,2025-08-12 00:12:06,SESSION_00778
INT_00170,USER_837,HOTEL_201,book,2025-08-11 11:26:33,SESSION_00786
INT_00171,USER_286,HOTEL_456,click,2025-08-04 09:54:21,SESSION_00645
INT_00172,USER_526,HOTEL_277,favourite,2025-07-25 01:13:17,SESSION_00942
INT_00173,USER_768,HOTEL_016,book,2025-07-28 20:44:23,SESSION_00804
INT_00174,USER_843,HOTEL_205,favourite,2025-08-01 17:55:23,SESSION_00227
INT_00175,USER_368,HOTEL_309,search,2025-08-25 23:40:12,SESSION_01266
INT_00176,USER_124,HOTEL_073,search,2025-06-09 21:53:58,SESSION_01639
INT_00177,USER_147,HOTEL_063,view,2025-07-11 09:22:40,SESSION_00956
INT_00178,USER_708,HOTEL_006,book,2025-08-16 13:03:40,SESSION_00083
INT_00179,USER_939,HOTEL_181,view,2025-06-12 05:55:16,SESSION_00104
INT_00180,USER_892,HOTEL_205,book,2025-07-20 02:49:05,SESSION_01198
INT_00181,USER_614,HOTEL_211,search,2025-06-09 10:43:08,SESSION_00192
INT_00182,USER_773,HOTEL_443,view,2025-07-05 18:05:58,SESSION_01402
INT_00183,USER_119,HOTEL_144,view,2025-08-02 16:55:24,SESSION_01090
INT_00184,USER_726,HOTEL_201,search,2025-06-06 00:33:52,SESSION_00969
INT_00185,USER_570,HOTEL_088,book,2025-07-12 05:37:49,SESSION_01446
INT_00186,USER_671,HOTEL_392,view,2025-08-08 02:44:17,SESSION_00681
INT_00187,USER_012,HOTEL_071,view,2025-06-21 04:30:56,SESSION_00920
INT_00188,USER_236,HOTEL_049,view,2025-07-12 04:28:05,SESSION_00158
INT_00189,USER_010,HOTEL_006,click,2025-08-05 03:57:06,SESSION_00191
INT_00190,USER_672,HOTEL_221,click,2025-08-26 18:33:54,SESSION_00433
INT_00191,USER_020,HOTEL_024,click,2025-06-11 02:25:20,SESSION_01444
INT_00192,USER_763,HOTEL_426,view,2025-08-01 11:55:16,SESSION_01642
INT_00193,USER_512,HOTEL_280,view,2025-06-09 20:45:07,SESSION_00493
INT_00194,USER_550,HOTEL_064,view,2025-07-07 20:07:41,SESSION_01223
INT_00195,USER_077,HOTEL_247,favourite,2025-07-07 11:15:27,SESSION_01484
INT_00196,USER_143,HOTEL_043,favourite,2025-06-16 18:00:41,SESSION_00625
INT_00197,USER_114,HOTEL_276,search,2025-08-29 09:54:09,SESSION_01662
INT_00198,USER_906,HOTEL_492,book,2025-08-08 21:26:06,SESSION_00408
INT_00199,USER_106,HOTEL_498,book,2025-07-29 19:34:19,SESSION_01061
INT_00200,USER_011,HOTEL_024,click,2025-06-17 04:00:58,SESSION_00514
INT_00201,USER_422,HOTEL_173,click,2025-08-04 01:23:05,SESSION_00439
INT_00202,USER_633,HOTEL_252,view,2025-06-23 21:01:11,SESSION_00436
INT_00203,USER_472,HOTEL_250,click,2025-07-18 12:57:16,SESSION_00030
INT_00204,USER_824,HOTEL_414,click,2025-07-05 11:17:00,SESSION_01568
INT_00205,USER_942,HOTEL_413,view,2025-06-08 09:33:56,SESSION_01182
INT_00206,USER_489,HOTEL_357,book,2025-06-25 22:22:43,SESSION_01298
INT_00207,USER_791,HOTEL_225,book,2025-08-14 14:02:18,SESSION_00430
INT_00208,USER_302,HOTEL_454,search,2025-08-24 09:27:18,SESSION_00599
INT_00209,USER_901,HOTEL_469,click,2025-08-15 19:27:49,SESSION_00700
INT_00210,USER_365,HOTEL_490,view,2025-06-16 23:18:22,SESSION_00201
INT_00211,USER_586,HOTEL_284,view,2025-07-11 21:57:20,SESSION_00291
INT_00212,USER_230,HOTEL_224,click,2025-08-07 05:45:23,SESSION_00448
INT_00213,USER_268,HOTEL_358,click,2025-08-15 02:47:30,SESSION_01033
INT_00214,USER_686,HOTEL_027,favourite,2025-07-11 08:33:22,SESSION_00868
INT_00215,USER_859,HOTEL_341,click,2025-08-22 13:32:27,SESSION_00059
INT_00216,USER_741,HOTEL_449,book,2025-06-17 08:49:21,SESSION_00947
INT_00217,USER_055,HOTEL_281,view,2025-08-04 23:35:09,SESSION_00184
INT_00218,USER_988,HOTEL_058,view,2025-06-06 16:45:27,SESSION_01657
INT_00219,USER_329,HOTEL_333,click,2025-06-13 10:02:56,SESSION_00750
INT_00220,USER_567,HOTEL_204,view,2025-06-07 04:46:34,SESSION_01351
INT_00221,USER_275,HOTEL_225,view,2025-08-22 20:24:58,SESSION_01062
INT_00222,USER_145,HOTEL_479,click,2025-07-12 20:07:20,SESSION_00406
INT_00223,USER_707,HOTEL_014,view,2025-07-12 12:08:02,SESSION_00909
INT_00224,USER_894,HOTEL_155,book,2025-08-30 22:48:32,SESSION_00202
INT_00225,USER_879,HOTEL_353,view,2025-08-13 15:06:48,SESSION_01432
INT_00226,USER_427,HOTEL_499,view,2025-09-01 04:23:47,SESSION_00936
INT_00227,USER_660,HOTEL_188,view,2025-08-01 15:18:32,SESSION_00837
INT_00228,USER_673,HOTEL_372,book,2025-08-06 15:23:35,SESSION_01109
INT_00229,USER_309,HOTEL_418,search,2025-06-16 10:57:47,SESSION_01634
INT_00230,USER_066,HOTEL_396,view,2025-07-24 06:54:54,SESSION_00808
INT_00231,USER_254,HOTEL_380,click,2025-07-20 21:20:49,SESSION_01209
INT_00232,USER_715,HOTEL_114,favourite,2025-08-15 22:50:12,SESSION_00844
INT_00233,USER_292,HOTEL_421,view,2025-07-11 12:51:15,SESSION_01603
INT_00234,USER_175,HOTEL_485,book,2025-06-06 15:46:38,SESSION_01158
INT_00235,USER_992,HOTEL_294,view,2025-08-23 17:36:10,SESSION_01161
INT_00236,USER_629,HOTEL_259,search,2025-06-24 04:27:37,SESSION_00442
INT_00237,USER_834,HOTEL_218,favourite,2025-06-27 15:25:04,SESSION_00988
INT_00238,USER_502,HOTEL_220,click,2025-07-16 19:11:24,SESSION_01293
INT_00239,USER_630,HOTEL_430,book,2025-07-31 23:33:55,SESSION_00667
INT_00240,USER_316,HOTEL_196,view,2025-08-17 09:40:23,SESSION_00967
INT_00241,USER_200,HOTEL_219,click,2025-07-23 04:30:07,SESSION_01066
INT_00242,USER_386,HOTEL_489,click,2025-06-21 17:29:28,SESSION_01635
INT_00243,USER_074,HOTEL_112,click,2025-06-11 05:48:58,SESSION_00068
