hotel_id,city_id,hotel_name,rating,price_band,tags,popularity_score
HOTEL_001,CITY_005,Paradise Heights Resort,2.0,luxury,"Golf Course,Balcony,Scenic Location,Pet Friendly",67
HOTEL_002,CITY_013,Seaside Crown Hotel,3.5,budget,"Garden,Outdoor Pool,Family Rooms",64
HOTEL_003,CITY_017,Boutique Plaza Hotel,3.0,budget,"High Speed Internet,Conference Facilities,Mountain View,Hotel",-5
HOTEL_004,CITY_048,Oasis Heights Resort,4.0,budget,"Conference Facilities,Outdoor Pool,Heating,Babysitting",60
HOTEL_005,CITY_039,Coastal Royal Resort,4.0,mid,"Outdoor Activities,Pool Service,Swimming Pool,Secretarial Services,Late Check Out",272
HOTEL_006,CITY_007,Riverside Plaza Resort,4.0,mid,"Ticket Service,Hotel,Beach Access,Playground,Non Smoking,Connecting Rooms",2
HOTEL_007,CITY_028,Supreme Royal Hotel,3.5,budget,"Business Hotel,USB Charging,Jacuzzi",196
HOTEL_008,CITY_037,Oasis Plaza Resort,3.0,mid,"4 Star,Half Board,Garden View",119
HOTEL_009,CITY_048,Riverside Royal Resort,4.5,mid,"Business Center,Late Check Out,Work Desk",91
HOTEL_010,CITY_025,Central Plaza Resort,4.0,mid,"Safe,Bar,Fitness Center,Hostel",20
HOTEL_011,CITY_003,Green Royal Resort,4.0,mid,"Airport Nearby,Inn,Business Lounge,Free WiFi,Smart TV,Deluxe",24
HOTEL_012,CITY_039,Executive Crown Resort,4.0,luxury,"Ocean View,Playground,Wellness Center,Garden",45
HOTEL_013,CITY_023,Grand Central Hotel,3.0,luxury,"Entertainment District,Beachfront,City Center,Indoor Activities",73
HOTEL_014,CITY_034,Mountain Royal Hotel,4.0,luxury,"Inn,Bike Rental,Airport Nearby",-1
HOTEL_015,CITY_029,Midtown Plaza Resort,4.5,budget,"Secretarial Services,Mid-Range,USB Charging,Early Check In,Budget,Conference Facilities",-1
HOTEL_016,CITY_004,Horizon Heights Hotel,4.5,budget,"Boardroom,Free WiFi,Conference Facilities",72
HOTEL_017,CITY_033,Stylish Crown Hotel,4.0,luxury,"Breakfast Included,Early Check In,Library,5 Star,Yoga Classes",264
HOTEL_018,CITY_026,Lakeside Crown Hotel,3.0,budget,"Balcony,Jacuzzi,Dry Cleaning,Bike Rental,Free WiFi",30
HOTEL_019,CITY_027,Corporate Plaza Resort,4.0,budget,"Hot Tub,Car Rental,Tour Desk,Balcony,Waterfront,Room Service",57
HOTEL_020,CITY_035,Lakeside Royal Hotel,5.0,luxury,"Rooftop Bar,Coffee Maker,Dry Cleaning,Tennis Court,Hotel,Deluxe",66
HOTEL_021,CITY_047,Business Royal Resort,3.5,budget,"Buffet,4 Star,Water Sports,Economy,Terrace,Playground",-4
HOTEL_022,CITY_019,Ultimate Plaza Resort,4.0,budget,"Meditation Area,Conference Facilities,Fax Service,Financial District,Full Board,Golf Course",72
HOTEL_023,CITY_002,Premium Crown Hotel,1.5,luxury,"Babysitting,Beach Access,Entertainment District,Water Sports,Hostel,Yoga Classes",33
HOTEL_024,CITY_012,Nature Plaza Hotel,3.0,budget,"Non Smoking,Scenic Location,Garden,Airport Nearby",3
HOTEL_025,CITY_016,Dawn Plaza Resort,2.5,luxury,"Child Friendly,Buffet,Indoor Pool,Inn,Library",30
HOTEL_026,CITY_049,Dawn Heights Resort,3.0,luxury,"Mini Bar,Non Smoking,Meeting Rooms,All Inclusive,Business Center,24 Hour Dining",62
HOTEL_027,CITY_043,Waterfront Plaza Hotel,3.5,budget,"Water Sports,Breakfast Included,Smoking Allowed",-3
